entry_id,name,entity_type,confidence,status,core_relevance_score,PI_or_leads,institution,city,region_state,country,latitude,longitude,map_layer,platform_tags,species,rydberg_role,experimental_mode,theory_mode,website,source_url_1,notes
E-011,QRydDemo / Rydberg quantum computer demonstrator,mixed_team,A,verified,5,Tilman Pfau; Ferdinand Meinert; Hans Peter Büchler,University of Stuttgart,Stuttgart,Baden-Württemberg,Germany,48.7758,9.1829,Core A,rydberg_array; optical_tweezers; neutral_atom_qc; gates; theory; consortium,Sr,gates; architecture; blockade; theory,mixed,mixed,https://www.itp3.uni-stuttgart.de/buechler-group/research/quantum-computing-with-Rydberg-atoms/,https://www.itp3.uni-stuttgart.de/buechler-group/research/quantum-computing-with-Rydberg-atoms/,Important mixed experiment/theory node; not just a single PI lab but a demonstrator ecosystem.
E-012,Circular Rydberg atoms group,academic,B,verified,4,Jean-Michel Raimond; Michel Brune; Clément Sayrin / LKB team,Laboratoire Kastler Brossel / ENS-PSL / Sorbonne / Collège de France,Paris,Île-de-France,France,48.841,2.344,Relevant B,circular_rydberg; optical_tweezers; quantum_simulation; sensing; gates,Rb,circular_rydberg; analog_simulation; sensing; blockade,experimental,mixed,https://www.lkb.fr/rydbergatoms/,https://www.lkb.fr/rydbergatoms/,Highly relevant but somewhat adjacent to standard neutral-atom Rydberg blockade processors because it uses circular Rydberg atoms/bottle beams.
E-013,Ohmori Group ultrafast Rydberg atom-array program,academic,B,verified,4,Kenji Ohmori; Takafumi Tomita,Institute for Molecular Science / SOKENDAI,Okazaki,Aichi,Japan,34.9546,137.1743,Relevant B,rydberg_array; optical_tweezers; ultrafast; quantum_simulation,Rb; unknown,analog_simulation; ultrafast_control; blockade,experimental,mixed,https://ohmori.ims.ac.jp/en/publications/,https://ohmori.ims.ac.jp/en/publications/,Official publications/talks page repeatedly lists ultrafast Rydberg experiments with ultracold atoms in optical tweezers; still needs peer-reviewed extraction and species confirmation.
E-014,Kaufman Group,academic,A,verified,5,Adam M. Kaufman,JILA / University of Colorado Boulder,Boulder,CO,United States,40.015,-105.2705,Core A,optical_tweezers; rydberg_array; quantum_simulation; metrology; qec; gates,Sr; Rb,gates; analog_simulation; blockade; metrology,experimental,mixed,https://www.colorado.edu/jila/kaufman,https://www.colorado.edu/jila/kaufman,"Core tweezer-array methods group with Rydberg activity; some work is not Rydberg-specific, so tag carefully."
E-015,Pichler Quantum Science Theory group,theory_group,B,verified,4,Hannes Pichler,IQOQI Innsbruck / University of Innsbruck,Innsbruck,Tyrol,Austria,47.2692,11.4041,Relevant B,rydberg_array; theory; algorithms; quantum_simulation; neutral_atom_qc,not_applicable,theory; algorithms; analog_simulation; architecture; qec,theory,theory,https://iqoqi.at/en/research/publications/ag-pichler,https://iqoqi.at/en/research/publications/ag-pichler,"Theory node, not experimental; useful for citation-network discovery and algorithms/architecture bucket."
E-016,Sachdev Rydberg-array theory collaborations,theory_group,B,verified,4,Subir Sachdev; Rhine Samajdar / collaborators,Harvard University,Cambridge,MA,United States,42.3736,-71.1097,Relevant B,rydberg_array; theory; quantum_simulation; many_body,not_applicable,theory; analog_simulation,theory,theory,https://www.physics.harvard.edu/news/phases-two-dimensional-rydberg-atom-array,https://www.physics.harvard.edu/news/phases-two-dimensional-rydberg-atom-array,Theory-only but highly relevant to programmable Rydberg array quantum simulation.
E-017,Lesanovsky theoretical atomic physics / synthetic quantum systems,theory_group,B,verified,3,Igor Lesanovsky,University of Tübingen,Tübingen,Baden-Württemberg,Germany,48.5216,9.0576,Relevant B,rydberg_atoms; theory; quantum_simulation; open_quantum_systems,not_applicable,theory; analog_simulation; dressing; open_systems,theory,theory,https://uni-tuebingen.de/en/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/physik/institute/institut-fuer-theoretische-physik/arbeitsgruppen/ag-lesanovsky/research-topics/,https://arxiv.org/abs/2506.09865,Updated in v0.9: current Rydberg-tweezer-array molecular-dynamics theory paper added; affiliation normalized to Tübingen pending official page check.
E-018,PASQAL,company,A,verified,5,Company leadership / PASQAL technical teams,PASQAL,Massy / Palaiseau,Île-de-France,France,48.73,2.27,Core A,rydberg_array; optical_tweezers; neutral_atom_qc; quantum_simulation; software; algorithms; gates,Rb,analog_simulation; digital_simulation; gates; blockade,company,mixed,https://www.pasqal.com/,https://www.pasqal.com/blog/pasqals-neutral-atoms-platform-toward-fully-programmable-quantum-simulators/,Company is core target; sources explicitly state Rydberg atoms held in arrays of optical tweezers and registers built with optical tweezers.
E-019,QuEra Computing,company,A,verified,5,Company leadership / QuEra technical teams,QuEra Computing,Boston,MA,United States,42.3601,-71.0589,Core A,rydberg_array; optical_tweezers; neutral_atom_qc; analog_simulation; qec; software,Rb; unknown,analog_simulation; gates; qec; blockade,company,mixed,https://www.quera.com/neutral-atom-platform,https://www.quera.com/neutral-atom-platform,Company is core target; official platform page says lasers act as optical tweezers; Bloqade docs state Rydberg blockade mechanism.
E-020,Atom Computing,company,B,needs_review,4,Company leadership / Atom Computing technical teams,Atom Computing,Berkeley,CA,United States,37.8715,-122.273,Relevant B,neutral_atom_qc; optical_tweezers; qec; alkaline_earth; gates,Sr; alkaline_earth,gates; qec; architecture,company,mixed,https://atom-computing.com/,https://atom-computing.com/wp-content/uploads/2025/01/Atom-Computing-Whitepaper-2025.pdf,Included as B: clearly neutral-atom/tweezer-confined and QEC-relevant; public source needs more explicit Rydberg-gate confirmation in this pass.
E-021,Infleqtion neutral-atom QC program,company,B,needs_review,4,Company leadership / Infleqtion technical teams,Infleqtion,Boulder,CO,United States,40.015,-105.2705,Relevant B,neutral_atom_qc; optical_tweezers; gates; qec; sensing,Cs,gates; qec; blockade,company,mixed,https://infleqtion.com/neutral-atom-technology/,https://infleqtion.com/neutral-atom-technology/,Included as B: official page gives optical tweezers; arXiv paper gives Cs tweezer array; confirm exact Rydberg gate mechanism and current product architecture.
E-022,QPerfect,company,B,verified,4,QPerfect team,QPerfect,Strasbourg,Grand Est,France,48.5734,7.7521,Relevant B,software; algorithms; qec; neutral_atom_qc; theory,not_applicable,algorithms; qec; emulation; theory,software,theory,https://www.qperfect.io/,https://www.qperfect.io/,"Not a hardware lab, but useful for theory/software/company ecosystem mapping around neutral-atom Rydberg processors."
E-023,planqc,company,C,candidate,2,planqc team / MPQ spinout,planqc,Garching / Munich,Bavaria,Germany,48.2489,11.6532,Adjacent C,neutral_atom_qc; optical_lattice; qec; gates,Sr; Li; unknown,gates; architecture,company,mixed,https://www.planqc.eu/,https://www.mpq.mpg.de/quantum-register-reaches-1200-neutral-atoms-in-continuous-operation,"Kept as C because approach appears optical-lattice-centered rather than optical-tweezer-centered, but strategically adjacent."
E-024,CAS Cold Atom Technology / Hanyuan neutral-atom systems,company,C,candidate,2,CAS Cold Atom Technology team,CAS Cold Atom Technology,Wuhan,Hubei,China,30.5928,114.3055,Adjacent C,neutral_atom_qc; optical_tweezers; company; qec,Rb,architecture; qec,company,unknown,https://www.cas.cn/,https://www.tomshardware.com/tech-industry/quantum-computing/china-claims-worlds-first-dual-core-quantum-computer,Kept as C/candidate because information is mostly press/news and lacks detailed public benchmarks in this pass.
E-025,DLR QCI DiNAQC / neutral atoms program,national_lab,C,candidate,2,DLR QCI / project partners,DLR Quantum Computing Initiative,Germany,Germany,Germany,51.1657,10.4515,Adjacent C,neutral_atom_qc; rydberg_array; gates; consortium,unknown,gates; blockade; architecture,mixed,mixed,https://qci.dlr.de/en/neutral-atoms/,https://qci.dlr.de/en/neutral-atoms/,"Useful consortium/project row, but optical tweezers not confirmed from the DLR page snippet."
E-026,CQT atom-array program,academic,C,candidate,2,Huanqian Loh / CQT team,"Centre for Quantum Technologies, National University of Singapore",Singapore,,Singapore,1.3521,103.8198,Adjacent C,optical_tweezers; atom_arrays; quantum_simulation,unknown,other,experimental,mixed,https://www.cqt.sg/highlight/2023-03-tweezers-atom-array/,https://www.cqt.sg/highlight/2023-03-tweezers-atom-array/,"Kept as adjacent/candidate because optical tweezer arrays are confirmed, but Rydberg target relevance is not yet confirmed."
E-027,Wenchao Xu Rydberg atom-array program,academic,B,verified,4,Wenchao Xu,ETH Zurich,Zurich,Zurich,Switzerland,47.3769,8.5417,Relevant B,rydberg_array; optical_tweezers; quantum_simulation; neutral_atom_qc,unknown,gates; analog_simulation; blockade,experimental,mixed,https://www.psi.ch/en/news/science-features/correcting-quantum-errors-with-neutral-atom-architectures,https://memento.epfl.ch/event/qse-quantum-seminar-quantum-science-with-rydberg-a/,ETH/PSI sources confirm Wenchao Xu leads Quantum Engineering and works on optically trapped neutral-atom arrays; seminar abstracts explicitly mention controllable Rydberg interactions.
E-028,Bernien Lab dual-species Rydberg arrays,academic,A,verified,5,Hannes Bernien,University of Chicago,Chicago,IL,United States,41.7897,-87.5997,Core A,rydberg_array; optical_tweezers; dual_species; neutral_atom_qc; quantum_simulation; qnd; gates,Rb; Cs,gates; quantum_simulation; qnd_measurement; dual_species_rydberg,experimental,mixed,https://bernienlab.com/,https://bernienlab.com/,Core dual-species Rydberg tweezer group. Official lab page shows Rb/Cs atoms in arbitrary geometries using optical tweezers; UChicago page confirms Rydberg entanglement/QND direction.
E-029,Vuletic neutral-atom/Rydberg collaborations,academic,B,verified,4,Vladan Vuletic,Massachusetts Institute of Technology,Cambridge,MA,United States,42.3601,-71.0942,Relevant B,rydberg_array; optical_tweezers; neutral_atom_qc; gates; nanophotonics; cavity_qed,Rb,gates; cavity_interfaces; qec; blockade,mixed,mixed,https://eapg.mit.edu/publications-by-subject/cavity-qed-with-atomic-ensembles-quantum-information-science/,https://eapg.mit.edu/publications-by-subject/cavity-qed-with-atomic-ensembles-quantum-information-science/,Relevant mixed collaboration node rather than a clean standalone Rydberg-array lab row; important for Cambridge ecosystem and cavity/interface directions.
E-030,Google Quantum AI neutral-atom hardware team,company,B,candidate,4,Adam M. Kaufman / Google Quantum AI team,Google Quantum AI / JILA collaboration,Boulder,CO,United States,40.015,-105.2705,Relevant B,neutral_atom_qc; optical_tweezers; qec; company; emerging_program,Yb; unknown,qec; gates; architecture; neutral_atom_hardware,mixed,mixed,https://blog.google/innovation-and-ai/technology/research/neutral-atom-quantum-computers/,https://blog.google/innovation-and-ai/technology/research/neutral-atom-quantum-computers/,"Important emerging industrial node. Treat as B/candidate because official announcement confirms neutral atoms, but public details about Rydberg/tweezer architecture are still sparse."
E-031,CIQC Neutral Atom QIS core,mixed_team,B,candidate,3,CIQC neutral atom faculty / collaborators,Challenge Institute for Quantum Computation / UC Berkeley and partners,Berkeley,CA,United States,37.8715,-122.273,Relevant B,neutral_atom_qc; optical_tweezers; optical_lattice; rydberg; cavity_qed; gates,unknown,gates; cavity_interfaces; architecture,mixed,mixed,https://ciqc.berkeley.edu/research/research-cores/neutral-atom-qis/,https://ciqc.berkeley.edu/research/research-cores/neutral-atom-qis/,"Good ecosystem/program node, but not yet resolved to a single lab/PI or paper lineage."
E-032,Tsinghua 87Rb Rydberg Atom Array,academic,A,verified,5,Ultracold Tsinghua / RAA team,Tsinghua University,Beijing,Beijing,China,40.0007,116.3264,Core A,rydberg_array; optical_tweezers; neutral_atom_qc; quantum_simulation; atom_sorting,Rb,analog_simulation; blockade; quantum_many_body,experimental,mixed,https://info.phys.tsinghua.edu.cn/coldquantum/raa.html,https://info.phys.tsinghua.edu.cn/coldquantum/raa.html,"Core China node. Strong fit for target taxonomy: 87Rb, optical tweezers, SLM arrays, Rydberg interactions."
E-033,Takahashi Yb Rydberg tweezer-array program,academic,B,verified,4,Yoshiro Takahashi; Yosuke Takasu; Yuma Nakamura,Kyoto University,Kyoto,Kyoto,Japan,35.0262,135.7808,Relevant B,rydberg_array; optical_tweezers; alkaline_earth; ytterbium; spectroscopy; neutral_atom_qc,Yb,single_photon_rydberg; spectroscopy; gates_candidate; quantum_simulation,experimental,mixed,https://www.scphys.kyoto-u.ac.jp/en/,https://arxiv.org/abs/2204.07995,Relevant Yb tweezer-Rydberg node. Mark B until an official current lab page and full group identity are normalized.
E-034,Pupillo Quantum Physics / Rydberg-array theory,theory_group,B,verified,4,Guido Pupillo,Université de Strasbourg / CNRS / CESQ,Strasbourg,Grand Est,France,48.5839,7.7455,Relevant B,rydberg_array; theory; quantum_simulation; neutral_atom_qc; qec; optimal_control; software,platform_agnostic,qec; gates; optimal_control; simulation; architecture,no,theory,https://isis.unistra.fr/en/cesq/pupillo-quantum-physics/,https://isis.unistra.fr/en/cesq/pupillo-quantum-physics/,Core theory/software node for neutral-atom/Rydberg gates and QEC. Useful for non-experimental side of the future ecosystem map.
E-035,Regal Group cryogenic Rydberg atom arrays,academic,B,verified,4,Cindy Regal / Regal group,JILA / University of Colorado Boulder,Boulder,CO,United States,40.015,-105.2705,Relevant B,rydberg_array; optical_tweezers; cryogenic; neutral_atom_qc; quantum_simulation; loading,Rb; bosonic atoms; unknown,cryogenic_rydberg_arrays; analog_simulation; loading; platform_methods,experimental,mixed,https://www.colorado.edu/jila/regal-group-research,https://www.colorado.edu/jila/regal-group-research,Likely should remain B because it overlaps with Kaufman; still useful as a distinct apparatus/team node for cryogenic Rydberg arrays.
E-036,Covey Lab photonic interfaces for Rydberg atom arrays,academic,B,verified,4,Jacob P. Covey,University of Illinois Urbana-Champaign,Urbana-Champaign,IL,United States,40.1106,-88.2073,Relevant B,rydberg_array; optical_tweezers; photonic_interface; neutral_atom_qc; quantum_networks; alkaline_earth,Sr; Yb; unknown,photonic_interfaces; quantum_networks; gates; architecture,experimental,mixed,https://iquist.illinois.edu/people/jacob-covey,https://iquist.illinois.edu/people/jacob-covey,"Important US node for interfaces/networks, not only standalone processors. Keep B until exact species/platform and active Rydberg-array publications are extracted."
E-037,Strathclyde neutral-atom/Rydberg entanglement and QEC candidates,academic,C,needs_review,3,Jonathan D. Pritchard; Kieran Craig; collaborators,University of Strathclyde,Glasgow,Scotland,United Kingdom,55.862,-4.242,Adjacent C,rydberg_atoms; neutral_atom_qc; optical_tweezers_candidate; qec; theory; experimental_history,Cs; unknown,entanglement; qec_candidate; architecture; fast_scrambling,mixed,mixed,https://pureportal.strath.ac.uk/en/publications/deterministic-fast-scrambling-with-neutral-atom-arrays,https://strathprints.strath.ac.uk/66084/8/Picken_etal_QST2018_Entanglement_of_neutral_atom_qubits_with_long_ground-Rydberg.pdf,Candidate/adjacent: target relevance is plausible but current optical-tweezer/Rydberg-array experimental status needs primary validation.
E-038,Loh Lab / Duke neutral-atom arrays,academic,B,verified,4,Huanqian Loh,Duke University,Durham,NC,United States,35.994,-78.8986,Relevant B,optical_tweezers; rydberg_array; neutral_atom_qc; quantum_simulation; metrology; atom_arrays,Rb; unknown,long_range_interactions; quantum_simulation; quantum_computation; metrology,experimental,mixed,https://lohlab.pratt.duke.edu/research-overview,https://lohlab.pratt.duke.edu/research-overview,Useful successor/current node related to earlier CQT Loh atom-array work. Keep B until recent Duke papers explicitly demonstrate Rydberg excitation/control on the new apparatus.
E-039,USTC / Pan-Lu-Rui large neutral-atom array program,academic,B,verified,3,Jian-Wei Pan; Chao-Yang Lu; Jun Rui; collaborators,University of Science and Technology of China / Shanghai Research Center for Quantum Sciences,Hefei,Anhui,China,31.8206,117.2272,Relevant B,optical_tweezers; neutral_atom_arrays; atom_sorting; qec_scaling; asian_ecosystem,Rb,architecture; loading; rearrangement; qec_candidate,experimental,mixed,https://quantum.ustc.edu.cn/web/en/publications-sel,https://arxiv.org/abs/2412.14647,Added from CAND-020. Strong optical-tweezer/large-array relevance; not yet classified A because the cited scaling paper does not itself prove Rydberg blockade/gates.
E-040,Durham Rydberg-molecule tweezer platform,academic,C,needs_review,2,Simon Cornish; Alexander Guttridge; collaborators,Durham University,Durham,County Durham,United Kingdom,54.7753,-1.5849,Adjacent C,optical_tweezers; rydberg_molecules; mixed_species; adjacent_platform,RbCs; Rb; Cs,rydberg_molecules; few_body; adjacent_quantum_simulation,experimental,mixed,https://arxiv.org/abs/2412.14888,https://arxiv.org/abs/2412.14888,"Adjacent rather than core: Rydberg molecules and mixed-species tweezer assembly are scientifically relevant, but not a standard neutral-atom Rydberg QC/simulation array."
E-041,Hazzard theory group / Rydberg-tweezer array theory,theory_group,B,verified,4,Kaden R. A. Hazzard,Rice University,Houston,TX,United States,29.7604,-95.3698,Relevant B,theory; rydberg_array; optical_tweezers; quantum_simulation; synthetic_dimensions; algorithms,not_applicable,theory; quantum_simulation; synthetic_dimensions; many_body,theory,theory,https://kaden.rice.edu/publications.html,https://kaden.rice.edu/publications.html,"Theory node for non-experimental map layer. Strongly relevant to Rydberg-array simulation, but no hardware apparatus."
E-042,Schleier-Smith Rydberg-dressing ensemble arrays,academic,C,verified,3,Monika Schleier-Smith,Stanford University,Stanford,CA,United States,37.4275,-122.1697,Adjacent C,rydberg_dressing; atomic_ensembles; metrology; adjacent_arrays,Cs,spin_squeezing; metrology; rydberg_dressing; many_body,experimental,mixed,https://sites.google.com/stanford.edu/sslab/research/publications,https://arxiv.org/abs/2303.08805,"Important Rydberg-dressing work, but not clearly an individual-atom optical-tweezer Rydberg processor. Keep as C/adjacent unless a direct tweezer-array apparatus is confirmed."
E-043,Sandia Neutral Atoms/Rydberg Computing program,national_lab,B,needs_review,3,Sandia neutral-atoms/Rydberg team,Sandia National Laboratories,Albuquerque,NM,United States,35.0844,-106.6504,Relevant B,neutral_atom_qc; rydberg_computing; national_lab; gates; theory; engineering,unknown,gates; architecture; theory; hardware_methods,mixed,mixed,https://www.sandia.gov/quantum/neutral-atoms-rydberg-computing/,https://www.sandia.gov/quantum/neutral-atoms-rydberg-computing/,"Strategically relevant US national-lab node. Classified B because public page confirms neutral atoms/Rydberg computing, but not enough detail yet for a core optical-tweezer row."
E-044,Deutsch CQuIC neutral-atom/Rydberg control theory,theory_group,B,verified,4,Ivan H. Deutsch,University of New Mexico,Albuquerque,NM,United States,35.0844,-106.6504,Relevant B,rydberg_array; quantum_control; neutral_atom_qc; qec; qudits; theory,generic; Rb; Cs,quantum_control; Dicke_manifold; architecture; qec; neutral_atom_theory,no,yes,https://cquic.unm.edu/people/ivan-deutsch/index.html,https://cquic.unm.edu/people/ivan-deutsch/index.html,Promoted in v0.9 from arXiv PI map. Strong theory/control node; not an experimental tweezer lab.
E-045,Misguich / IPhT Rydberg-array control and random-state theory,theory_group,B,verified,4,Grégoire Misguich,"CEA / Institut de Physique Théorique (IPhT), Université Paris-Saclay",Saclay / Gif-sur-Yvette,Île-de-France,France,48.729,2.148,Relevant B,rydberg_array; theory; control; random_state_generation; spin_squeezing,generic,state_preparation; control; random_states; spin_squeezing; quantum_simulation_theory,no,yes,https://www.ipht.fr/en/pisp/gregoire-misguich-2/,https://www.ipht.fr/en/pisp/gregoire-misguich-2/,Promoted in v0.9 as a local France/Saclay theory/control node with direct Rydberg-array papers.
E-046,Serbyn Quantum Dynamics & Condensed Matter group,theory_group,B,verified,3,Maksym Serbyn,Institute of Science and Technology Austria (ISTA),Klosterneuburg,Lower Austria,Austria,48.3097,16.2595,Relevant B,rydberg_array; many_body_scars; thermalization; solitons; theory,generic,many_body_scars; non_equilibrium; rydberg_chain_theory; quantum_simulation_theory,no,yes,https://serbyn.github.io/site/,https://serbyn.github.io/site/,Promoted in v0.9 as a theory node. Relevance is Rydberg-array many-body theory; optical-tweezer implementation is indirect.
E-047,Carrasquilla quantum many-body ML for Rydberg arrays,theory_group,B,verified,3,Juan Carrasquilla,ETH Zurich,Zurich,Zurich,Switzerland,47.3769,8.5417,Relevant B,rydberg_array; theory; machine_learning; variational_wavefunctions,generic,many_body_theory; machine_learning; quantum_simulation_benchmarking,no,yes,https://www.phys.ethz.ch/news-and-events/d-phys-news/2023/12/new-year-new-professors.html,https://arxiv.org/abs/2405.20384,Promoted in v0.9 as ML/theory node for Rydberg-array wavefunctions; not a hardware group.
E-048,Jin-Guo Liu / Quantum Bay Rydberg-array algorithms and QEC,theory_group,B,verified,4,Jin-Guo Liu,Hong Kong University of Science and Technology (Guangzhou),Guangzhou,Guangdong,China,23.1291,113.2644,Relevant B,rydberg_array; algorithms; qec; tensor_networks; optimization; software,generic,qec; globally_controlled_arrays; optimization; tensor_networks; software,no,yes,https://www.jinguo-group.science/,https://www.jinguo-group.science/,Promoted in v0.9. Affiliation resolved from group/faculty pages; paper is theory/QEC for neutral-atom Rydberg arrays.
E-049,Pengfei Zhang / Fudan spin-phonon Rydberg-array theory,theory_group,B,verified,4,Pengfei Zhang,Fudan University,Shanghai,Shanghai,China,31.2304,121.4737,Relevant B,rydberg_array; spin_phonon_coupling; many_body_theory; quantum_simulation,generic,spin_phonon; many_body_physics; quantum_simulation_theory; thermalization,no,yes,https://scholar.google.com/citations?user=xvhhFXgAAAAJ,https://arxiv.org/abs/2507.16751,Promoted in v0.9. Direct theory paper explicitly invokes optical-tweezer vibrations/spin-phonon coupling in Rydberg arrays.
E-050,Pai Peng / Peking Yb optical-tweezer array program,academic,B,verified,4,Pai Peng; Sheng Zhang; Qihuang Gong,Peking University,Beijing,Beijing,China,39.9042,116.4074,Relevant B,optical_tweezers; alkaline_earth; Yb; neutral_atom_qc; rydberg_gate_estimates,Yb,platform_scaling; loading; proposed_gates; alkaline_earth_arrays,experimental,mixed,https://scholar.google.com/citations?user=pZNLmTIAAAAJ,https://arxiv.org/abs/2512.19795,"Promoted in v0.9 as B, not A: optical tweezer/Yb scaling is clear; Rydberg role is prospective/estimated rather than demonstrated in this paper."
E-051,Burgers Lab Yb atom-array architecture,academic,B,verified,4,Alex P. Burgers,University of Michigan,Ann Arbor,MI,United States,42.2808,-83.743,Relevant B,optical_tweezers; Yb; neutral_atom_qc; qec_architecture; rydberg_entanglement,Yb,architecture; metastable_encoding; qec; rydberg_entanglement,mixed,mixed,https://ece.engin.umich.edu/stories/alex-burgers-awarded-aro-support-for-research-on-long-lasting-qubit-states-in-ytterbium,https://arxiv.org/abs/2606.08453,Promoted in v0.9 from candidate. Architecture/theory/hardware-direction node; Rydberg-mediated entanglement is in scope.
E-052,Ni Group dual-species atom quantum simulator,academic,A,verified,5,Kang-Kuen Ni,Harvard University,Cambridge,MA,United States,42.3736,-71.1097,Core A,dual_species; optical_tweezers; rydberg_array; qec; neutral_atom_qc; molecules,Na; Cs; molecules,stabilizer_readout; dual_species_gates; blockade; qec; quantum_simulation,experimental,mixed,https://kni.faculty.chemistry.harvard.edu/dual-species-atom-quantum-simulator,https://kni.faculty.chemistry.harvard.edu/dual-species-atom-quantum-simulator,Promoted in v0.9 as separate Harvard experimental node; distinct enough from Lukin due to dual-species Na/Cs and molecule/atom-array orientation.
